event_key,event_name,start_date,end_date,event_location,event_type,event_location-size
987,Vancouver Fashion Week,30/03/2010,05/04/2010,Vancouver,event,578040
988,Vancouver Gem & Mineral Show,09/08/2010,09/08/2010,Vancouver,event,578040
989,Vancouver Gift Expo,15/03/2010,17/03/2010,Vancouver,event,578040
990,Vancouver International Travel Expo,19/09/2010,19/09/2010,Vancouver,event,578040
991,Victoria Day,18/05/2010,18/05/2010,Domestic,holiday,
992,BMO Vancouver Marathon,03/05/2010,03/05/2010,Vancouver,event,578040
993,Honda Celebration of Light,25/07/2010,25/07/2010,Vancouver,event,578040
994,Vancouver Cherry Blossom Festival,04/04/2010,28/04/2010,Vancouver,event,578040
995,Dine Out Vancouver Festival,17/01/2010,02/02/2010,Vancouver,event,578040
996,HSBC Canada Sevens,07/03/2010,08/03/2010,Vancouver,event,578040
997,International Jazz Festival,21/06/2010,01/07/2010,Vancouver,event,578040
998,PuSh International Performing Arts Festival,21/01/2010,09/02/2010,Vancouver,event,578040
999,TED Conference,20/04/2010,24/04/2010,Vancouver,event,578040
1000,Vancouver Craft Beer Week,29/05/2010,07/06/2010,Vancouver,event,578040
1001,Vancouver Folk Music Festival,17/07/2010,19/07/2010,Vancouver,event,578040
1002,Vancouver International Film Festival (VIFF),24/09/2010,09/10/2010,Vancouver,event,578040
1003,Vancouver International Wine Festival,22/02/2010,01/03/2010,Vancouver,event,578040
1004,Vancouver Opera Festival,22/02/2010,01/05/2010,Vancouver,event,578040
1005,Vancouver Pride Festival,02/08/2010,02/08/2010,Vancouver,event,578040
1006,Aboriginal Day,21/06/2009,21/06/2009,Domestic,holiday,
1007,Boxing Day,26/12/2009,26/12/2009,Domestic,holiday,
1008,BUILDEX Vancouver,12/02/2009,13/02/2009,Vancouver,event,578040
1009,Canada Day,01/07/2009,01/07/2009,Domestic,holiday,
1010,Canada Day Celebrations,01/07/2009,01/07/2009,Vancouver,event,578040
1011,Christmas Day,25/12/2009,25/12/2009,Domestic,holiday,
1012,Civic Holiday,03/08/2009,03/08/2009,Domestic,holiday,
1013,Easter Monday,13/04/2009,13/04/2009,Domestic,holiday,
1014,Family Day,17/02/2009,17/02/2009,Domestic,holiday,
1015,Father's Day,21/06/2009,21/06/2009,Domestic,holiday,
1016,Good Friday,10/04/2009,10/04/2009,Domestic,holiday,
1017,Heritage Day,17/02/2009,17/02/2009,Domestic,holiday,
1018,Islander Day,17/02/2009,17/02/2009,Domestic,holiday,
1019,Labour Day,07/09/2009,07/09/2009,Domestic,holiday,
1020,Leap Day,29/02/2009,29/02/2009,Domestic,holiday,
1021,Louis Riel Day,17/02/2009,17/02/2009,Domestic,holiday,
1022,Mother's Day,10/05/2009,10/05/2009,Domestic,holiday,
1023,New Year's Day,01/01/2009,01/01/2009,Domestic,holiday,
1024,New Year's Eve,31/12/2009,31/12/2009,Vancouver,holiday,578040
1025,Remembrance Day,11/11/2009,11/11/2009,Domestic,holiday,
1026,Remembrance Day Parade and Service,11/11/2009,11/11/2009,Vancouver,event,578040
1027,Sidelaunch Days,10/08/2009,11/08/2009,Domestic,holiday,
1028,St. Jean Baptiste Day,24/06/2009,24/06/2009,Domestic,holiday,
1029,St. Patrick's Day,17/03/2009,17/03/2009,Domestic,holiday,
1030,Thanksgiving,12/10/2009,12/10/2009,Domestic,holiday,
1031,Valentine's Day,14/02/2009,14/02/2009,Domestic,holiday,
1032,Vancouver Fashion Week,30/03/2009,05/04/2009,Vancouver,event,578040
1033,Vancouver Gem & Mineral Show,09/08/2009,09/08/2009,Vancouver,event,578040
1034,Vancouver Gift Expo,15/03/2009,17/03/2009,Vancouver,event,578040
1035,Vancouver International Travel Expo,19/09/2009,19/09/2009,Vancouver,event,578040
1036,Victoria Day,18/05/2009,18/05/2009,Domestic,holiday,
1037,BMO Vancouver Marathon,03/05/2009,03/05/2009,Vancouver,event,578040
1038,Honda Celebration of Light,25/07/2009,25/07/2009,Vancouver,event,578040
1039,Vancouver Cherry Blossom Festival,04/04/2009,28/04/2009,Vancouver,event,578040
1040,Dine Out Vancouver Festival,17/01/2009,02/02/2009,Vancouver,event,578040
1041,HSBC Canada Sevens,07/03/2009,08/03/2009,Vancouver,event,578040
1042,International Jazz Festival,21/06/2009,01/07/2009,Vancouver,event,578040
1043,PuSh International Performing Arts Festival,21/01/2009,09/02/2009,Vancouver,event,578040
1044,TED Conference,20/04/2009,24/04/2009,Vancouver,event,578040
1045,Vancouver Craft Beer Week,29/05/2009,07/06/2009,Vancouver,event,578040
1046,Vancouver Folk Music Festival,17/07/2009,19/07/2009,Vancouver,event,578040
1047,Vancouver International Film Festival (VIFF),24/09/2009,09/10/2009,Vancouver,event,578040
1048,Vancouver International Wine Festival,22/02/2009,01/03/2009,Vancouver,event,578040
1049,Vancouver Opera Festival,22/02/2009,01/05/2009,Vancouver,event,578040
1050,Vancouver Pride Festival,02/08/2009,02/08/2009,Vancouver,event,578040
1051,Aboriginal Day,21/06/2008,21/06/2008,Domestic,holiday,
1052,Boxing Day,26/12/2008,26/12/2008,Domestic,holiday,
1053,BUILDEX Vancouver,12/02/2008,13/02/2008,Vancouver,event,578040
1054,Canada Day,01/07/2008,01/07/2008,Domestic,holiday,
1055,Canada Day Celebrations,01/07/2008,01/07/2008,Vancouver,event,578040
1056,Christmas Day,25/12/2008,25/12/2008,Domestic,holiday,
1057,Civic Holiday,03/08/2008,03/08/2008,Domestic,holiday,
1058,Easter Monday,13/04/2008,13/04/2008,Domestic,holiday,
1059,Family Day,17/02/2008,17/02/2008,Domestic,holiday,
1060,Father's Day,21/06/2008,21/06/2008,Domestic,holiday,
1061,Good Friday,10/04/2008,10/04/2008,Domestic,holiday,
1062,Heritage Day,17/02/2008,17/02/2008,Domestic,holiday,
1063,Islander Day,17/02/2008,17/02/2008,Domestic,holiday,
1064,Labour Day,07/09/2008,07/09/2008,Domestic,holiday,
1065,Leap Day,29/02/2008,29/02/2008,Domestic,holiday,
1066,Louis Riel Day,17/02/2008,17/02/2008,Domestic,holiday,
1067,Mother's Day,10/05/2008,10/05/2008,Domestic,holiday,
1068,New Year's Day,01/01/2008,01/01/2008,Domestic,holiday,
1069,New Year's Eve,31/12/2008,31/12/2008,Vancouver,holiday,578040
1070,Remembrance Day,11/11/2008,11/11/2008,Domestic,holiday,
1071,Remembrance Day Parade and Service,11/11/2008,11/11/2008,Vancouver,event,578040
1072,Sidelaunch Days,10/08/2008,11/08/2008,Domestic,holiday,
1073,St. Jean Baptiste Day,24/06/2008,24/06/2008,Domestic,holiday,
1074,St. Patrick's Day,17/03/2008,17/03/2008,Domestic,holiday,
1075,Thanksgiving,12/10/2008,12/10/2008,Domestic,holiday,
1076,Valentine's Day,14/02/2008,14/02/2008,Domestic,holiday,
1077,Vancouver Fashion Week,30/03/2008,05/04/2008,Vancouver,event,578040
1078,Vancouver Gem & Mineral Show,09/08/2008,09/08/2008,Vancouver,event,578040
1079,Vancouver Gift Expo,15/03/2008,17/03/2008,Vancouver,event,578040
1080,Vancouver International Travel Expo,19/09/2008,19/09/2008,Vancouver,event,578040
1081,Victoria Day,18/05/2008,18/05/2008,Domestic,holiday,
1082,BMO Vancouver Marathon,03/05/2008,03/05/2008,Vancouver,event,578040
1083,Honda Celebration of Light,25/07/2008,25/07/2008,Vancouver,event,578040
1084,Vancouver Cherry Blossom Festival,04/04/2008,28/04/2008,Vancouver,event,578040
1085,Dine Out Vancouver Festival,17/01/2008,02/02/2008,Vancouver,event,578040
1086,HSBC Canada Sevens,07/03/2008,08/03/2008,Vancouver,event,578040
1087,International Jazz Festival,21/06/2008,01/07/2008,Vancouver,event,578040
1088,PuSh International Performing Arts Festival,21/01/2008,09/02/2008,Vancouver,event,578040
1089,TED Conference,20/04/2008,24/04/2008,Vancouver,event,578040
1090,Vancouver Craft Beer Week,29/05/2008,07/06/2008,Vancouver,event,578040
1091,Vancouver Folk Music Festival,17/07/2008,19/07/2008,Vancouver,event,578040
1092,Vancouver International Film Festival (VIFF),24/09/2008,09/10/2008,Vancouver,event,578040
1093,Vancouver International Wine Festival,22/02/2008,01/03/2008,Vancouver,event,578040
1094,Vancouver Opera Festival,22/02/2008,01/05/2008,Vancouver,event,578040
1095,Vancouver Pride Festival,02/08/2008,02/08/2008,Vancouver,event,578040
1096,Aboriginal Day,21/06/2007,21/06/2007,Domestic,holiday,
1097,Boxing Day,26/12/2007,26/12/2007,Domestic,holiday,
1098,BUILDEX Vancouver,12/02/2007,13/02/2007,Vancouver,event,578040
1099,Canada Day,01/07/2007,01/07/2007,Domestic,holiday,
1100,Canada Day Celebrations,01/07/2007,01/07/2007,Vancouver,event,578040
1101,Christmas Day,25/12/2007,25/12/2007,Domestic,holiday,
1102,Civic Holiday,03/08/2007,03/08/2007,Domestic,holiday,
1103,Easter Monday,13/04/2007,13/04/2007,Domestic,holiday,
1104,Family Day,17/02/2007,17/02/2007,Domestic,holiday,
1105,Father's Day,21/06/2007,21/06/2007,Domestic,holiday,
1106,Good Friday,10/04/2007,10/04/2007,Domestic,holiday,
1107,Heritage Day,17/02/2007,17/02/2007,Domestic,holiday,
1108,Islander Day,17/02/2007,17/02/2007,Domestic,holiday,
1109,Labour Day,07/09/2007,07/09/2007,Domestic,holiday,
1110,Leap Day,29/02/2007,29/02/2007,Domestic,holiday,
1111,Louis Riel Day,17/02/2007,17/02/2007,Domestic,holiday,
1112,Mother's Day,10/05/2007,10/05/2007,Domestic,holiday,
1113,New Year's Day,01/01/2007,01/01/2007,Domestic,holiday,
1114,New Year's Eve,31/12/2007,31/12/2007,Vancouver,holiday,578040
1115,Remembrance Day,11/11/2007,11/11/2007,Domestic,holiday,
1116,Remembrance Day Parade and Service,11/11/2007,11/11/2007,Vancouver,event,578040
1117,Sidelaunch Days,10/08/2007,11/08/2007,Domestic,holiday,
1118,St. Jean Baptiste Day,24/06/2007,24/06/2007,Domestic,holiday,
1119,St. Patrick's Day,17/03/2007,17/03/2007,Domestic,holiday,
1120,Thanksgiving,12/10/2007,12/10/2007,Domestic,holiday,
1121,Valentine's Day,14/02/2007,14/02/2007,Domestic,holiday,
1122,Vancouver Fashion Week,30/03/2007,05/04/2007,Vancouver,event,578040
1123,Vancouver Gem & Mineral Show,09/08/2007,09/08/2007,Vancouver,event,578040
1124,Vancouver Gift Expo,15/03/2007,17/03/2007,Vancouver,event,578040
1125,Vancouver International Travel Expo,19/09/2007,19/09/2007,Vancouver,event,578040
1126,Victoria Day,18/05/2007,18/05/2007,Domestic,holiday,
1127,BMO Vancouver Marathon,03/05/2007,03/05/2007,Vancouver,event,578040
1128,Honda Celebration of Light,25/07/2007,25/07/2007,Vancouver,event,578040
1129,Vancouver Cherry Blossom Festival,04/04/2007,28/04/2007,Vancouver,event,578040
1130,Dine Out Vancouver Festival,17/01/2007,02/02/2007,Vancouver,event,578040
1131,HSBC Canada Sevens,07/03/2007,08/03/2007,Vancouver,event,578040
1132,International Jazz Festival,21/06/2007,01/07/2007,Vancouver,event,578040
1133,PuSh International Performing Arts Festival,21/01/2007,09/02/2007,Vancouver,event,578040
1134,TED Conference,20/04/2007,24/04/2007,Vancouver,event,578040
1135,Vancouver Craft Beer Week,29/05/2007,07/06/2007,Vancouver,event,578040
1136,Vancouver Folk Music Festival,17/07/2007,19/07/2007,Vancouver,event,578040
1137,Vancouver International Film Festival (VIFF),24/09/2007,09/10/2007,Vancouver,event,578040
1138,Vancouver International Wine Festival,22/02/2007,01/03/2007,Vancouver,event,578040
1139,Vancouver Opera Festival,22/02/2007,01/05/2007,Vancouver,event,578040
1140,Vancouver Pride Festival,02/08/2007,02/08/2007,Vancouver,event,578040
1141,Aboriginal Day,21/06/2006,21/06/2006,Domestic,holiday,
1142,Boxing Day,26/12/2006,26/12/2006,Domestic,holiday,
1143,BUILDEX Vancouver,12/02/2006,13/02/2006,Vancouver,event,578040
1144,Canada Day,01/07/2006,01/07/2006,Domestic,holiday,
1145,Canada Day Celebrations,01/07/2006,01/07/2006,Vancouver,event,578040
1146,Christmas Day,25/12/2006,25/12/2006,Domestic,holiday,
1147,Civic Holiday,03/08/2006,03/08/2006,Domestic,holiday,
1148,Easter Monday,13/04/2006,13/04/2006,Domestic,holiday,
1149,Family Day,17/02/2006,17/02/2006,Domestic,holiday,
1150,Father's Day,21/06/2006,21/06/2006,Domestic,holiday,
1151,Good Friday,10/04/2006,10/04/2006,Domestic,holiday,
1152,Heritage Day,17/02/2006,17/02/2006,Domestic,holiday,
1153,Islander Day,17/02/2006,17/02/2006,Domestic,holiday,
1154,Labour Day,07/09/2006,07/09/2006,Domestic,holiday,
1155,Leap Day,29/02/2006,29/02/2006,Domestic,holiday,
1156,Louis Riel Day,17/02/2006,17/02/2006,Domestic,holiday,
1157,Mother's Day,10/05/2006,10/05/2006,Domestic,holiday,
1158,New Year's Day,01/01/2006,01/01/2006,Domestic,holiday,
1159,New Year's Eve,31/12/2006,31/12/2006,Vancouver,holiday,578040
1160,Remembrance Day,11/11/2006,11/11/2006,Domestic,holiday,
1161,Remembrance Day Parade and Service,11/11/2006,11/11/2006,Vancouver,event,578040
1162,Sidelaunch Days,10/08/2006,11/08/2006,Domestic,holiday,
1163,St. Jean Baptiste Day,24/06/2006,24/06/2006,Domestic,holiday,
1164,St. Patrick's Day,17/03/2006,17/03/2006,Domestic,holiday,
1165,Thanksgiving,12/10/2006,12/10/2006,Domestic,holiday,
1166,Valentine's Day,14/02/2006,14/02/2006,Domestic,holiday,
1167,Vancouver Fashion Week,30/03/2006,05/04/2006,Vancouver,event,578040
1168,Vancouver Gem & Mineral Show,09/08/2006,09/08/2006,Vancouver,event,578040
1169,Vancouver Gift Expo,15/03/2006,17/03/2006,Vancouver,event,578040
1170,Vancouver International Travel Expo,19/09/2006,19/09/2006,Vancouver,event,578040
1171,Victoria Day,18/05/2006,18/05/2006,Domestic,holiday,
1172,BMO Vancouver Marathon,03/05/2006,03/05/2006,Vancouver,event,578040
1173,Honda Celebration of Light,25/07/2006,25/07/2006,Vancouver,event,578040
1174,Vancouver Cherry Blossom Festival,04/04/2006,28/04/2006,Vancouver,event,578040
1175,Dine Out Vancouver Festival,17/01/2006,02/02/2006,Vancouver,event,578040
1176,HSBC Canada Sevens,07/03/2006,08/03/2006,Vancouver,event,578040
1177,International Jazz Festival,21/06/2006,01/07/2006,Vancouver,event,578040
1178,PuSh International Performing Arts Festival,21/01/2006,09/02/2006,Vancouver,event,578040
1179,TED Conference,20/04/2006,24/04/2006,Vancouver,event,578040
1180,Vancouver Craft Beer Week,29/05/2006,07/06/2006,Vancouver,event,578040
1181,Vancouver Folk Music Festival,17/07/2006,19/07/2006,Vancouver,event,578040
1182,Vancouver International Film Festival (VIFF),24/09/2006,09/10/2006,Vancouver,event,578040
1183,Vancouver International Wine Festival,22/02/2006,01/03/2006,Vancouver,event,578040
1184,Vancouver Opera Festival,22/02/2006,01/05/2006,Vancouver,event,578040
1185,Vancouver Pride Festival,02/08/2006,02/08/2006,Vancouver,event,578040
1186,Aboriginal Day,21/06/2005,21/06/2005,Domestic,holiday,
1187,Boxing Day,26/12/2005,26/12/2005,Domestic,holiday,
1188,BUILDEX Vancouver,12/02/2005,13/02/2005,Vancouver,event,545670
1189,Canada Day,01/07/2005,01/07/2005,Domestic,holiday,
1190,Canada Day Celebrations,01/07/2005,01/07/2005,Vancouver,event,545670
1191,Christmas Day,25/12/2005,25/12/2005,Domestic,holiday,
1192,Civic Holiday,03/08/2005,03/08/2005,Domestic,holiday,
1193,Easter Monday,13/04/2005,13/04/2005,Domestic,holiday,
1194,Family Day,17/02/2005,17/02/2005,Domestic,holiday,
1195,Father's Day,21/06/2005,21/06/2005,Domestic,holiday,
1196,Good Friday,10/04/2005,10/04/2005,Domestic,holiday,
1197,Heritage Day,17/02/2005,17/02/2005,Domestic,holiday,
1198,Islander Day,17/02/2005,17/02/2005,Domestic,holiday,
1199,Labour Day,07/09/2005,07/09/2005,Domestic,holiday,
1200,Leap Day,29/02/2005,29/02/2005,Domestic,holiday,
1201,Louis Riel Day,17/02/2005,17/02/2005,Domestic,holiday,
1202,Mother's Day,10/05/2005,10/05/2005,Domestic,holiday,
1203,New Year's Day,01/01/2005,01/01/2005,Domestic,holiday,
1204,New Year's Eve,31/12/2005,31/12/2005,Vancouver,holiday,545670
1205,Remembrance Day,11/11/2005,11/11/2005,Domestic,holiday,
1206,Remembrance Day Parade and Service,11/11/2005,11/11/2005,Vancouver,event,545670
1207,Sidelaunch Days,10/08/2005,11/08/2005,Domestic,holiday,
1208,St. Jean Baptiste Day,24/06/2005,24/06/2005,Domestic,holiday,
1209,St. Patrick's Day,17/03/2005,17/03/2005,Domestic,holiday,
1210,Thanksgiving,12/10/2005,12/10/2005,Domestic,holiday,
1211,Valentine's Day,14/02/2005,14/02/2005,Domestic,holiday,
1212,Vancouver Fashion Week,30/03/2005,05/04/2005,Vancouver,event,545670
1213,Vancouver Gem & Mineral Show,09/08/2005,09/08/2005,Vancouver,event,545670
1214,Vancouver Gift Expo,15/03/2005,17/03/2005,Vancouver,event,545670
1215,Vancouver International Travel Expo,19/09/2005,19/09/2005,Vancouver,event,545670
1216,Victoria Day,18/05/2005,18/05/2005,Domestic,holiday,
1217,BMO Vancouver Marathon,03/05/2005,03/05/2005,Vancouver,event,545670
1218,Honda Celebration of Light,25/07/2005,25/07/2005,Vancouver,event,545670
1219,Vancouver Cherry Blossom Festival,04/04/2005,28/04/2005,Vancouver,event,545670
1220,Dine Out Vancouver Festival,17/01/2005,02/02/2005,Vancouver,event,545670
1221,HSBC Canada Sevens,07/03/2005,08/03/2005,Vancouver,event,545670
1222,International Jazz Festival,21/06/2005,01/07/2005,Vancouver,event,545670
1223,PuSh International Performing Arts Festival,21/01/2005,09/02/2005,Vancouver,event,545670
1224,TED Conference,20/04/2005,24/04/2005,Vancouver,event,545670
1225,Vancouver Craft Beer Week,29/05/2005,07/06/2005,Vancouver,event,545670
1226,Vancouver Folk Music Festival,17/07/2005,19/07/2005,Vancouver,event,545670
1227,Vancouver International Film Festival (VIFF),24/09/2005,09/10/2005,Vancouver,event,545670
1228,Vancouver International Wine Festival,22/02/2005,01/03/2005,Vancouver,event,545670
1229,Vancouver Opera Festival,22/02/2005,01/05/2005,Vancouver,event,545670
1230,Vancouver Pride Festival,02/08/2005,02/08/2005,Vancouver,event,545670
1231,Aboriginal Day,21/06/2004,21/06/2004,Domestic,holiday,
1232,Boxing Day,26/12/2004,26/12/2004,Domestic,holiday,
1233,BUILDEX Vancouver,12/02/2004,13/02/2004,Vancouver,event,545670
1234,Canada Day,01/07/2004,01/07/2004,Domestic,holiday,
1235,Canada Day Celebrations,01/07/2004,01/07/2004,Vancouver,event,545670
1236,Christmas Day,25/12/2004,25/12/2004,Domestic,holiday,
1237,Civic Holiday,03/08/2004,03/08/2004,Domestic,holiday,
1238,Easter Monday,13/04/2004,13/04/2004,Domestic,holiday,
1239,Family Day,17/02/2004,17/02/2004,Domestic,holiday,
1240,Father's Day,21/06/2004,21/06/2004,Domestic,holiday,
1241,Good Friday,10/04/2004,10/04/2004,Domestic,holiday,
1242,Heritage Day,17/02/2004,17/02/2004,Domestic,holiday,
1243,Islander Day,17/02/2004,17/02/2004,Domestic,holiday,
1244,Labour Day,07/09/2004,07/09/2004,Domestic,holiday,
1245,Leap Day,29/02/2004,29/02/2004,Domestic,holiday,
1246,Louis Riel Day,17/02/2004,17/02/2004,Domestic,holiday,
1247,Mother's Day,10/05/2004,10/05/2004,Domestic,holiday,
1248,New Year's Day,01/01/2004,01/01/2004,Domestic,holiday,
1249,New Year's Eve,31/12/2004,31/12/2004,Vancouver,holiday,545670
1250,Remembrance Day,11/11/2004,11/11/2004,Domestic,holiday,
1251,Remembrance Day Parade and Service,11/11/2004,11/11/2004,Vancouver,event,545670
1252,Sidelaunch Days,10/08/2004,11/08/2004,Domestic,holiday,
1253,St. Jean Baptiste Day,24/06/2004,24/06/2004,Domestic,holiday,
1254,St. Patrick's Day,17/03/2004,17/03/2004,Domestic,holiday,
1255,Thanksgiving,12/10/2004,12/10/2004,Domestic,holiday,
1256,Valentine's Day,14/02/2004,14/02/2004,Domestic,holiday,
1257,Vancouver Fashion Week,30/03/2004,05/04/2004,Vancouver,event,545670
1258,Vancouver Gem & Mineral Show,09/08/2004,09/08/2004,Vancouver,event,545670
1259,Vancouver Gift Expo,15/03/2004,17/03/2004,Vancouver,event,545670
1260,Vancouver International Travel Expo,19/09/2004,19/09/2004,Vancouver,event,545670
1261,Victoria Day,18/05/2004,18/05/2004,Domestic,holiday,
1262,BMO Vancouver Marathon,03/05/2004,03/05/2004,Vancouver,event,545670
1263,Honda Celebration of Light,25/07/2004,25/07/2004,Vancouver,event,545670
1264,Vancouver Cherry Blossom Festival,04/04/2004,28/04/2004,Vancouver,event,545670
1265,Dine Out Vancouver Festival,17/01/2004,02/02/2004,Vancouver,event,545670
1266,HSBC Canada Sevens,07/03/2004,08/03/2004,Vancouver,event,545670
1267,International Jazz Festival,21/06/2004,01/07/2004,Vancouver,event,545670
1268,PuSh International Performing Arts Festival,21/01/2004,09/02/2004,Vancouver,event,545670
1269,TED Conference,20/04/2004,24/04/2004,Vancouver,event,545670
1270,Vancouver Craft Beer Week,29/05/2004,07/06/2004,Vancouver,event,545670
1271,Vancouver Folk Music Festival,17/07/2004,19/07/2004,Vancouver,event,545670
1272,Vancouver International Film Festival (VIFF),24/09/2004,09/10/2004,Vancouver,event,545670
1273,Vancouver International Wine Festival,22/02/2004,01/03/2004,Vancouver,event,545670
1274,Vancouver Opera Festival,22/02/2004,01/05/2004,Vancouver,event,545670
1275,Vancouver Pride Festival,02/08/2004,02/08/2004,Vancouver,event,545670
1276,Aboriginal Day,21/06/2003,21/06/2003,Domestic,holiday,
1277,Boxing Day,26/12/2003,26/12/2003,Domestic,holiday,
1278,BUILDEX Vancouver,12/02/2003,13/02/2003,Vancouver,event,545670
1279,Canada Day,01/07/2003,01/07/2003,Domestic,holiday,
1280,Canada Day Celebrations,01/07/2003,01/07/2003,Vancouver,event,545670
1281,Christmas Day,25/12/2003,25/12/2003,Domestic,holiday,
1282,Civic Holiday,03/08/2003,03/08/2003,Domestic,holiday,
1283,Easter Monday,13/04/2003,13/04/2003,Domestic,holiday,
1284,Family Day,17/02/2003,17/02/2003,Domestic,holiday,
1285,Father's Day,21/06/2003,21/06/2003,Domestic,holiday,
1286,Good Friday,10/04/2003,10/04/2003,Domestic,holiday,
1287,Heritage Day,17/02/2003,17/02/2003,Domestic,holiday,
1288,Islander Day,17/02/2003,17/02/2003,Domestic,holiday,
1289,Labour Day,07/09/2003,07/09/2003,Domestic,holiday,
1290,Leap Day,29/02/2003,29/02/2003,Domestic,holiday,
1291,Louis Riel Day,17/02/2003,17/02/2003,Domestic,holiday,
1292,Mother's Day,10/05/2003,10/05/2003,Domestic,holiday,
1293,New Year's Day,01/01/2003,01/01/2003,Domestic,holiday,
1294,New Year's Eve,31/12/2003,31/12/2003,Vancouver,holiday,545670
1295,Remembrance Day,11/11/2003,11/11/2003,Domestic,holiday,
1296,Remembrance Day Parade and Service,11/11/2003,11/11/2003,Vancouver,event,545670
1297,Sidelaunch Days,10/08/2003,11/08/2003,Domestic,holiday,
1298,St. Jean Baptiste Day,24/06/2003,24/06/2003,Domestic,holiday,
1299,St. Patrick's Day,17/03/2003,17/03/2003,Domestic,holiday,
1300,Thanksgiving,12/10/2003,12/10/2003,Domestic,holiday,
1301,Valentine's Day,14/02/2003,14/02/2003,Domestic,holiday,
1302,Vancouver Fashion Week,30/03/2003,05/04/2003,Vancouver,event,545670
1303,Vancouver Gem & Mineral Show,09/08/2003,09/08/2003,Vancouver,event,545670
1304,Vancouver Gift Expo,15/03/2003,17/03/2003,Vancouver,event,545670
1305,Vancouver International Travel Expo,19/09/2003,19/09/2003,Vancouver,event,545670
1306,Victoria Day,18/05/2003,18/05/2003,Domestic,holiday,
1307,BMO Vancouver Marathon,03/05/2003,03/05/2003,Vancouver,event,545670
1308,Honda Celebration of Light,25/07/2003,25/07/2003,Vancouver,event,545670
1309,Vancouver Cherry Blossom Festival,04/04/2003,28/04/2003,Vancouver,event,545670
1310,Dine Out Vancouver Festival,17/01/2003,02/02/2003,Vancouver,event,545670
1311,HSBC Canada Sevens,07/03/2003,08/03/2003,Vancouver,event,545670
1312,International Jazz Festival,21/06/2003,01/07/2003,Vancouver,event,545670
1313,PuSh International Performing Arts Festival,21/01/2003,09/02/2003,Vancouver,event,545670
1314,TED Conference,20/04/2003,24/04/2003,Vancouver,event,545670
1315,Vancouver Craft Beer Week,29/05/2003,07/06/2003,Vancouver,event,545670
1316,Vancouver Folk Music Festival,17/07/2003,19/07/2003,Vancouver,event,545670
1317,Vancouver International Film Festival (VIFF),24/09/2003,09/10/2003,Vancouver,event,545670
1318,Vancouver International Wine Festival,22/02/2003,01/03/2003,Vancouver,event,545670
1319,Vancouver Opera Festival,22/02/2003,01/05/2003,Vancouver,event,545670
1320,Vancouver Pride Festival,02/08/2003,02/08/2003,Vancouver,event,545670
